MidPoint,Slope,resultList,LinerType
40,0.5,"[0.26761376584393937, 0.27613527446521635, 0.2866593475772068, 0.3000108213540585, 0.3175346990092689, 0.3415579921767426, 0.3763791173041671, 0.4303965801712921, 0.5196084343373795, 0.6626617189111899, 0.8362084970569076]",0.0
50,0.5,"[0.2250950783395252, 0.22944836408041114, 0.23481755056472753, 0.24162808009899417, 0.2505920463971293, 0.2630040036897259, 0.2814952177441007, 0.3122985855130051, 0.3732826684465448, 0.5168710840578173, 0.7681691348056756]",0.0
60,0.5,"[0.194631307999953, 0.19597601442516716, 0.1976169018602317, 0.1996681688554768, 0.20231413489035577, 0.20587559601658004, 0.21097357935675656, 0.21902378814955784, 0.23434193727993177, 0.284250132217362, 0.6649454352126598]",0.0
70,0.5,"[0.17163899747545056, 0.17080081099383126, 0.1697959758233186, 0.1685717912036697, 0.16705238472801673, 0.16512597614027458, 0.1626247059595873, 0.1592949847931069, 0.1547656914453124, 0.14856430162643558, 0.14027220743618393]",0.0
80,0.5,"[0.153620209152797, 0.15119698534096007, 0.14835448701053439, 0.1449989484044855, 0.1410218959091119, 0.13631041998659812, 0.13077379197329145, 0.1243941843772296, 0.11729511333078542, 0.10978547367616695, 0.10228369481228902]",0.0
90,0.5,"[0.13908669986297664, 0.1355121428304261, 0.13141550174138025, 0.12673390502100465, 0.12142665304157074, 0.11550050537332175, 0.10903980652450501, 0.10222878761325845, 0.09534978298215456, 0.08876015650975848, 0.08284715466361033]",0.0
100,0.5,"[0.1270900152458485, 0.12267559217878654, 0.11772885632198034, 0.11224080172956262, 0.10624829225098324, 0.09985176633830739, 0.09322385793550736, 0.08660085867570559, 0.08026265955916953, 0.07453684856178389, 0.06987127596966752]",0.0
10,1.0,"[0.7743326972356632, 0.7919908945305176, 0.8100592210976365, 0.8284367199296825, 0.8470134965535875, 0.8656754964505102, 0.884309557154312, 0.9028081453667, 0.9210732816554184, 0.9390193398531992, 0.9565746237078318]",0.0
20,1.0,"[0.5686224951439889, 0.5892021615727238, 0.6126574656760685, 0.6393455535275356, 0.6695358926911231, 0.7032998927362162, 0.7403809626828165, 0.7801043612483018, 0.8214092786281901, 0.8630359707561448, 0.9037903596459584]",0.0
30,1.0,"[0.4408752593263853, 0.45382577783352573, 0.46953557372538013, 0.4888899550841548, 0.5131147923937461, 0.5438649729298525, 0.583196866842535, 0.6331187070515493, 0.6942534150533691, 0.7639401262518618, 0.8362084970569076]",0.0
40,1.0,"[0.3611335247983081, 0.36652944633555046, 0.3732792391061536, 0.3819536275911859, 0.3934822810714423, 0.4094647337666802, 0.43281500646978727, 0.46905337678137893, 0.5280432454740824, 0.6207453332499686, 0.7396219249744318]",0.0
