MidPoint,Slope,resultList,LinerType
50,2.0,"[0.3522451414953137, 0.33748514513576244, 0.31609136784969705, 0.28048574777950025, 0.17551575989679427, 0.06569322527738733, 0.042132401813362245, 0.030693475495818957, 0.02403764927707244, 0.019991803544267803, 0.017724212709922766]",0.0
60,2.0,"[0.31496268288247714, 0.2914084485960184, 0.2540323749715219, 0.17164099563499044, 0.06591706180841297, 0.038667234679581775, 0.02646013773815726, 0.019727430709034398, 0.015680143104064025, 0.013211847739964887, 0.011949546421909964]",0.0
70,2.0,"[0.28513125740009504, 0.25285344665043163, 0.19644479324591604, 0.08546038488749133, 0.04185519804576825, 0.026068010658902505, 0.018259384371194936, 0.013832431233123431, 0.011129218646576811, 0.00946364537595664, 0.008644067638221703]",0.0
80,2.0,"[0.2606582682712718, 0.2198365876189602, 0.14217850171766894, 0.05541608804850493, 0.029520492744476556, 0.01889957134962599, 0.01348459759077381, 0.010360294569521691, 0.008423016548795261, 0.007212122648144613, 0.006618966377081729]",0.0
90,2.0,"[0.24018267746840755, 0.19113871052861148, 0.09859071004382002, 0.03994625230380923, 0.02209436053606664, 0.014454067363299138, 0.010481233955364511, 0.008151626706210353, 0.006685446608631948, 0.005755114359311674, 0.005293556229888346]",0.0
100,2.0,"[0.22277672271673793, 0.16601705787175985, 0.07153448468562101, 0.03040748096165106, 0.017274299693610114, 0.011516351056906314, 0.008469478625904978, 0.006655591369900803, 0.005498211201713924, 0.004753260405140261, 0.004376134677100575]",0.0
10,4.0,"[0.7466750375277624, 0.7542255625534132, 0.7625780747639367, 0.7718547479460404, 0.7822005487592509, 0.7937875867491462, 0.8068198692546824, 0.8215380052422602, 0.8382228235422897, 0.8571957963775435, 0.8788122764797739]",0.0
20,4.0,"[0.6014828868412692, 0.6008146691397224, 0.600003343226876, 0.5989970219465917, 0.5977149995008906, 0.5960242068431026, 0.5936875607373884, 0.5902339750353585, 0.5845555141682746, 0.5730882408593764, 0.5061726804869325]",0.0
30,4.0,"[0.5077440697784784, 0.4943976966516732, 0.47638973297348336, 0.4500951352836046, 0.40471800926821927, 0.08168363536882518, 0.04672877413817983, 0.03360341441418514, 0.025930658490076603, 0.021004054909495525, 0.017724212709922766]",0.0
40,4.0,"[0.4413511844801566, 0.41336111218920046, 0.3698232484599094, 0.27159460274714725, 0.05733976901199314, 0.03379587625784968, 0.023068144811798263, 0.017079215097152513, 0.0134246710886184, 0.011080816959842891, 0.009561690029341778]",0.0
50,4.0,"[0.3914082034081296, 0.34735828780069156, 0.26158560490412963, 0.06273836239251498, 0.03133736401267793, 0.01958613203415763, 0.013726945491175807, 0.010392639118645334, 0.008328692170916587, 0.006988181416359948, 0.006117792964897483]",0.0
60,4.0,"[0.3522451414953137, 0.2907268707564208, 0.11901257279134263, 0.03724633971929498, 0.02003019405518818, 0.012915628230882612, 0.009281446230762847, 0.0071697755377383736, 0.005836504724225632, 0.004955193470331175, 0.004376134677100575]",0.0
70,4.0,"[0.3205875571331054, 0.24005240546575066, 0.06441589551503503, 0.025158752001411218, 0.014061524970086349, 0.009322628825818555, 0.00684311012615093, 0.005371080658508923, 0.004424034952429202, 0.0037876190183980187, 0.003363607100859327]",0.0
80,4.0,"[0.2943953545060416, 0.19339331372817467, 0.04363200797677144, 0.01828635613249696, 0.010560090020929431, 0.00716837413524696, 0.005352222425725296, 0.004253073400306038, 0.00353441668030908, 0.003044581539272868, 0.002713840061692149]",0.0
