MidPoint,Slope,resultList,LinerType
20,1.0,"[0.49274070668695963, 0.49274070668695996, 0.4927407066869598, 0.4927407066869598, 0.49274070668695963, 0.4927407066869601, 0.49274070668695946, 0.4927407066869601, 0.49274070668695996, 0.49274070668695963, 0.49274070668695963]",-4.440892098500626e-16
30,1.0,"[0.4003981903440512, 0.40039819034405105, 0.40039819034405133, 0.40039819034405133, 0.4003981903440515, 0.40039819034405105, 0.4003981903440512, 0.40039819034405133, 0.4003981903440515, 0.40039819034405133, 0.40039819034405133]",-1.6653345369377348e-16
40,1.0,"[0.33881579699195646, 0.33881579699195663, 0.3388157969919568, 0.3388157969919568, 0.33881579699195663, 0.33881579699195663, 0.3388157969919569, 0.33881579699195646, 0.3388157969919568, 0.3388157969919568, 0.3388157969919568]",-1.1102230246251563e-16
50,1.0,"[0.29439535450604193, 0.29439535450604176, 0.29439535450604193, 0.29439535450604176, 0.29439535450604204, 0.29439535450604193, 0.2943953545060416, 0.29439535450604176, 0.29439535450604176, 0.29439535450604176, 0.29439535450604193]",-1.1102230246251563e-16
60,1.0,"[0.260658268271272, 0.260658268271272, 0.2606582682712718, 0.2606582682712718, 0.2606582682712718, 0.2606582682712718, 0.2606582682712718, 0.2606582682712718, 0.2606582682712718, 0.2606582682712718, 0.26065826827127214]",1.6653345369377348e-16
70,1.0,"[0.23407651584247113, 0.23407651584247113, 0.23407651584247113, 0.2340765158424713, 0.2340765158424713, 0.23407651584247113, 0.23407651584247113, 0.23407651584247113, 0.2340765158424713, 0.2340765158424713, 0.23407651584247113]",-1.6653345369377348e-16
80,1.0,"[0.21254588501929153, 0.21254588501929103, 0.21254588501929103, 0.2125458850192907, 0.2125458850192906, 0.21254588501929025, 0.21254588501929025, 0.2125458850192906, 0.21254588501929086, 0.21254588501929103, 0.2125458850192917]",1.2767564783189302e-15
90,1.0,"[0.19472553174300575, 0.1947255317430053, 0.19472553174300397, 0.19472553174300414, 0.19472553174300225, 0.19472553174300092, 0.19472553174300192, 0.19472553174300414, 0.19472553174300558, 0.1947255317430043, 0.19472553174300558]",4.662936703425658e-15
100,1.0,"[0.1797167700752477, 0.17971677007524817, 0.17971677007524353, 0.17971677007524434, 0.17971677007523937, 0.17971677007523743, 0.17971677007524128, 0.17971677007524753, 0.17971677007524658, 0.1797167700752477, 0.17971677007525075]",1.0269562977782698e-14
10,2.0,"[0.7114598555937899, 0.6920805600139182, 0.6738667446345359, 0.656713262374538, 0.6405265083402314, 0.625223173826195, 0.610729055009569, 0.5969779604331497, 0.5839107329070616, 0.5714743863705846, 0.5596213507581559]",0.0
20,2.0,"[0.5596213507581559, 0.5374981545756335, 0.5172460037735385, 0.49862242842996013, 0.4814263616835386, 0.46548959621344843, 0.4506702543559712, 0.43684775199207276, 0.4239188779967921, 0.4117947136778501, 0.40039819034405133]",0.0
30,2.0,"[0.4654895962134486, 0.44364121646910915, 0.4239188779967928, 0.4060099070139428, 0.389662136058675, 0.37466965520741224, 0.3608624506653505, 0.34809874222834347, 0.33625922876434056, 0.32524270548223805, 0.3149626828824773]",0.0
40,2.0,"[0.4003981903440512, 0.3795277007662379, 0.36086245066535033, 0.34405488340121104, 0.32882904654021083, 0.3149626828824773, 0.30227451145620293, 0.2906150098678311, 0.2798596125781378, 0.269903610176779, 0.26065826827127214]",0.0
50,2.0,"[0.3522451414953136, 0.332500156779294, 0.3149626828824773, 0.2992684463195121, 0.28513125740009454, 0.27232276241843506, 0.260658268271272, 0.24998659638620713, 0.24018267746840738, 0.23114205208261737, 0.22277672271673793]",0.0
60,2.0,"[0.3149626828824773, 0.2963244804958759, 0.27985961257813746, 0.2651971153095945, 0.2520478353272112, 0.24018267746840738, 0.2294175271588829, 0.21960255243615104, 0.2106144561601068, 0.20235076202484525, 0.19472553174300558]",0.0
70,2.0,"[0.2851312574000947, 0.26752881123809447, 0.2520478353272112, 0.23831651930733824, 0.2260468664901909, 0.21501198122707438, 0.20503044332615433, 0.19595529433968772, 0.18766610802946457, 0.18006317350462492, 0.1730631567491804]",0.0
80,2.0,"[0.260658268271272, 0.24400720817572422, 0.2294175271588826, 0.21652008766846573, 0.20503044332615317, 0.19472553174300447, 0.18542773500650403, 0.17699370414117724, 0.16930635205225378, 0.16226900672363928, 0.15580106998801108]",0.0
90,2.0,"[0.24018267746840755, 0.2243995206687478, 0.2106144561601063, 0.19846315874479326, 0.18766610802946027, 0.17800493953457502, 0.1693063520522517, 0.1614308770022641, 0.15426486811030724, 0.14771467877101385, 0.14170235895441768]",0.0
100,2.0,"[0.22277672271673776, 0.2077839514840669, 0.19472553174300286, 0.18324322046859143, 0.17306315674916387, 0.16397205345733049, 0.1558010699880228, 0.14841460834323567, 0.14170235895440678, 0.13557354658724463, 0.12995269859903882]",0.0
10,4.0,"[0.7466750375277624, 0.6952264865004361, 0.6512145775177243, 0.6130914470146264, 0.5796976400463382, 0.5501583899527325, 0.5238047408501617, 0.500117334580393, 0.47868690980839707, 0.4591864286395077, 0.4413511844801566]",0.0
20,4.0,"[0.6014828868412688, 0.5410481711555086, 0.4927407066869601, 0.45306789685722526, 0.41979210680483375, 0.3914082034081296, 0.3668623086232907, 0.3453916906387404, 0.32642892416210295, 0.30954197979204556, 0.29439535450604193]",0.0
30,4.0,"[0.5077440697784784, 0.44712547737532093, 0.40039819034405105, 0.36308766260189845, 0.33250015677929384, 0.3069046035692801, 0.2851312574000949, 0.2663576516436612, 0.24998659638620713, 0.23557279754787486, 0.22277672271673793]",0.0
40,4.0,"[0.44135118448015626, 0.3828423298589317, 0.33881579699195663, 0.30431407368225644, 0.2764568021260888, 0.253441697274868, 0.23407651584247113, 0.2175376391892631, 0.203235974472564, 0.19073796221862974, 0.17971677007525075]",0.0
50,4.0,"[0.39140820340812926, 0.33562646783300426, 0.29439535450604193, 0.2625296791830418, 0.23708897554903618, 0.21626722753939837, 0.19888754257819774, 0.1841470174513815, 0.17147739030153042, 0.16046409396227582, 0.15079685194602685]",0.0
60,4.0,"[0.3522451414953136, 0.2992684463195121, 0.2606582682712718, 0.23114205208261737, 0.20778395148406656, 0.18880613127144016, 0.17306315674917142, 0.15978069472262996, 0.14841460834323741, 0.13857005744900525, 0.12995269859903882]",0.0
70,4.0,"[0.32058755713310505, 0.27030368763850304, 0.23407651584247113, 0.20662748522149205, 0.18505996320977522, 0.16763936334696836, 0.1532576517412339, 0.1411704727012621, 0.13085705078622642, 0.12194071423419596, 0.11414152214931686]",0.0
80,4.0,"[0.29439535450604193, 0.2466277442782834, 0.21254588501929025, 0.18691387437136528, 0.1668926229244727, 0.15079685194607453, 0.13755659292547845, 0.12645597223234029, 0.11699567234393062, 0.10881580293040406, 0.10165033008819978]",0.0
90,4.0,"[0.27232276241843506, 0.22687992435004822, 0.19472553174300092, 0.17069554564511052, 0.15201718476680212, 0.1370554085781003, 0.12477648662629255, 0.1144909290409363, 0.10571966722091732, 0.09811960387055721, 0.09143969525424266]",0.0
100,4.0,"[0.2534416972748678, 0.21013721833476864, 0.17971677007523743, 0.15710510705667177, 0.1395986028924605, 0.12561069140047434, 0.11414152215073932, 0.10452676127490773, 0.09630789822897856, 0.08916017826796838, 0.0828497694780286]",0.0
