MidPoint,Slope,resultList,LinerType
20,2.0,"[0.6614115411903173, 0.6809019555472895, 0.7019613501421741, 0.7241956087234356, 0.7469617786048449, 0.7693917327160323, 0.7904849485035252, 0.8092500639229812, 0.8248453901759839, 0.8366683108074001, 0.844371621136154]",0.0
30,2.0,"[0.5302986674424063, 0.542855566596036, 0.5582001363372747, 0.5768476704047709, 0.5990353294567704, 0.6242225204408183, 0.6504486197738644, 0.6740777106453236, 0.6905321491041654, 0.6955538394615043, 0.6854611578439844]",-0.01009268161751986
40,2.0,"[0.4408752593263855, 0.4405376401210321, 0.4393470148760159, 0.4359858618455744, 0.4259923685239847, 0.004775827386098951, 0.004466592213416279, 0.004767417762821711, 0.005871961848037493, 0.009244782417463907, 0.028127162044288227]",0.023660569830871947
50,2.0,"[0.3780621575956971, 0.36270685944312375, 0.33331968929590505, 0.0031112857672907102, 0.0021545636248445407, 0.0018774816966071613, 0.0018778918793171614, 0.002110334426782998, 0.002721345582017594, 0.004533355009054832, 0.017641978047852714]",0.015764496351245553
60,2.0,"[0.33170255342713184, 0.29897944856086284, 0.0026810375710087098, 0.001441408410417158, 0.0011133370613700584, 0.001013749271508599, 0.0010360654983543247, 0.0011793520882676094, 0.0015372048357901913, 0.002602637408046717, 0.011894551807418345]",0.010880802535909746
70,2.0,"[0.29601260563004494, 0.2407284343751153, 0.0013920427415016032, 0.0008607781626375982, 0.0006950422533867647, 0.00064523719284999, 0.0006651460795074686, 0.0007599480916672657, 0.0009926872777368501, 0.001688142863654086, 0.008606003553776017]",0.007960766360926028
80,2.0,"[0.26761376584393937, 0.0030003267302526645, 0.0008819024629963643, 0.0005819238391866839, 0.0004812122137760795, 0.00045144517888451584, 0.0004673280516232257, 0.0005345018920485165, 0.0006982142579204396, 0.0011889333063918304, 0.00659131041306275]",0.0061398652341782345
90,2.0,"[0.24442446219728603, 0.0016814245076494487, 0.0006185690692075293, 0.000423796393992859, 0.0003556114539343356, 0.00033575549091454586, 0.00034836451040842976, 0.0003985056667387367, 0.0005203138194501561, 0.0008865037188909917, 0.005272537265591152]",0.004936781774676606
100,2.0,"[0.22509507833952563, 0.001121829902339689, 0.00046210432955766487, 0.00032437833337927937, 0.0002748455105857193, 0.00026059006880329444, 0.0002707410711653614, 0.0003096655525067254, 0.00040410807474183715, 0.0006888436186244488, 0.004359546335626916]",0.004098956266823621
10,4.0,"[0.8642862717052439, 0.8696937424706923, 0.8744849161984921, 0.8785555991114644, 0.8818016930938437, 0.8841208550205526, 0.8854138399808463, 0.8855853255646139, 0.8845440075817428, 0.8822017625786648, 0.8784716818770194]",-0.007113643687594484
20,4.0,"[0.7158803706841446, 0.7241748352160836, 0.7317640689519125, 0.7378724057979217, 0.7414472058123274, 0.7411253269403589, 0.7351703680213647, 0.7212559049329542, 0.6956747567949698, 0.6498666842958074, 0.30513240054522367]",-0.025566835128182808
30,4.0,"[0.5897330070468065, 0.5882355758003073, 0.5838547331989289, 0.5732628924804576, 0.5472974429926369, 0.00575494932635171, 0.005180363305676776, 0.005161091259446345, 0.0058927748368722095, 0.008282684727519956, 0.017641978047852714]",0.012480886788406368
40,4.0,"[0.49665890133724433, 0.47555292767518864, 0.4338273130187894, 0.0035393611505825885, 0.0023939461098284906, 0.002003281230135201, 0.0018980313326254202, 0.0020000915381291327, 0.00239931810060248, 0.003585142072876595, 0.009518885230038444]",0.0076208538974130244
50,4.0,"[0.42890408821716447, 0.38109507805302345, 0.0026492054868446813, 0.001451863783267505, 0.0011108330054641368, 0.0009883508488463587, 0.0009731057654284805, 0.0010539874557969166, 0.001293447544280434, 0.0019891756922288733, 0.00609267171980808]",0.0051195659543796
60,4.0,"[0.3780621575956971, 0.28968846152745514, 0.0012904133187921184, 0.00081094959133947, 0.0006527644934809045, 0.0005968349406402258, 0.0005982714312211488, 0.0006568472925134419, 0.000815803820103819, 0.0012762798369052608, 0.004359546335626916]",0.00376271139498669
70,4.0,"[0.3385699283071397, 0.002342589263779965, 0.0007857069415642885, 0.0005261915396098892, 0.00043481088620716504, 0.00040335400250942, 0.0004083213199128352, 0.00045183082308879657, 0.0005653865987814167, 0.0008952325303883807, 0.003351672274043393]",0.002948318271533973
80,4.0,"[0.30696653823874387, 0.001349156707948093, 0.0005366561686460666, 0.000372599132362889, 0.00031269412605775644, 0.00029258422413756043, 0.0002979749542124684, 0.0003314049187950466, 0.0004168686252838077, 0.0006662411137966254, 0.0027047142205493197]",0.0024121299964117594
90,4.0,"[0.2810538813048151, 0.0009009447720979052, 0.00039328542733307, 0.00027934260788050567, 0.00023676695337691454, 0.00022277345016742924, 0.0002277834851858055, 0.00025424254151784734, 0.00032107197749289287, 0.0005170501381553997, 0.0022588262182243407]",0.0020360527680569115
100,4.0,"[0.25938324561806214, 0.0006531024009699112, 0.00030227859280539923, 0.00021802718667501342, 0.00018604400465156712, 0.0001757123406372224, 0.0001801676760747739, 0.00020162936267304585, 0.0002554297814605817, 0.0004139853289453983, 0.0019348532037516558]",0.0017591408631144334
