dose,$Gly$,$Gly_{CAA}$,$Gly_{RDM}$
0.44,0.005446739625259917,0.007158640136911772,0.010742068984350706
0.445,0.005333808049592534,0.007030366364455039,0.010583063884534089
0.45,0.00522524887421279,0.006906374557351899,0.010428610395779393
0.455,0.005120816362988336,0.006786459083852651,0.01027851828060319
0.46,0.005020282941694631,0.006670427119312947,0.010132607669092443
0.465,0.004923437359239336,0.00655809767371522,0.00999070836768002
0.47000000000000003,0.004830083430768399,0.006449300668577527,0.009852659231248274
0.47500000000000003,0.004740038607432463,0.00634387619488438,0.009718307527246103
0.48,0.004653132832522943,0.00624167371350509,0.009587508470298864
0.485,0.00456920747804778,0.0061425513573541935,0.009460124659642997
0.49,0.004488114389294606,0.006046375378717127,0.009336025577591566
0.495,0.004409715040863085,0.005953019632201631,0.009215087273100869
